Group,Check,Passes,Fails,Pass %
default,course_content/list_initial: courseContent is an array,1,0,100
default,course_content/upload: status is 200/201,1,0,100
default,course_content/upload: never a 5xx (server did not crash),1,0,100
default,course_content/upload: response contains thumbnail key,1,0,100
default,course_content/add: status is 201,1,0,100
default,course_content/add: never a 5xx (server did not crash),1,0,100
default,course_content/add: course content id returned,1,0,100
default,course_content/add: response has non-empty thumbnail field,1,0,100
default,course_content/add: stored thumbnail matches uploaded key,1,0,100
default,course/get_by_id_after_module: status is 200,1,0,100
default,course_content/list_after_add: status is 200,1,0,100
default,course_content/list_after_add: newly created module is retrievable,1,0,100
default,course_lesson/upload: status is 200/201,1,0,100
default,course_lesson/upload: never a 5xx (server did not crash),1,0,100
default,course_lesson/upload: response contains thumbnail key,1,0,100
default,course_lesson/create: status is 201,1,0,100
default,course_lesson/create: never a 5xx (server did not crash),1,0,100
default,course_lesson/create: lesson id returned,1,0,100
default,course_lesson/create: response has non-empty thumbnailUrl field,1,0,100
default,course_lesson/create: stored thumbnailUrl matches uploaded key,1,0,100
default,quiz/create: status is 201,1,0,100
default,quiz/create: never a 5xx (server did not crash),1,0,100
default,quiz/create: quiz id returned,1,0,100
default,quiz_question/create: status is 201,1,0,100
default,quiz_question/create: never a 5xx (server did not crash),1,0,100
default,quiz_question/create: success=true,1,0,100
default,course_lesson/list: status is 200,1,0,100
default,course_lesson/list: newly created lesson is retrievable,1,0,100
default,course_lesson/list: lesson has the quiz attached,1,0,100
default,course_materials/module: status is 200,1,0,100
default,course_materials/lesson: status is 200,1,0,100
default,quiz/list: status is 200,1,0,100
default,quiz/list: newly created quiz is retrievable,1,0,100
default,create_customer/negative_duplicate_portal_name: status is 400/409,1,0,100
default,create_customer/negative_duplicate_portal_name: never a 5xx (server did not crash),1,0,100
default,list_customers/verify_after_create: status is 200,1,0,100
default,list_customers/verify_after_create: success=true,1,0,100
default,list_customers/verify_after_create: never a 5xx (server did not crash),1,0,100
default,list_customers/page_zero: never a 5xx (server did not crash),1,0,100
default,list_customers/limit_zero: never a 5xx (server did not crash),1,0,100
default,list_customers/huge_limit: never a 5xx (server did not crash),1,0,100
default,list_customers/negative_page: never a 5xx (server did not crash),1,0,100
default,list_customers/negative_limit: never a 5xx (server did not crash),0,1,0
default,list_customers/non_numeric: never a 5xx (server did not crash),1,0,100
default,list_customers/search_sql_injection: never a 5xx (server did not crash),1,0,100
default,list_customers/invalid_boolean: never a 5xx (server did not crash),1,0,100
default,get_customer/unauthenticated: status is 401,1,0,100
default,get_customer/unauthenticated: never a 5xx (server did not crash),1,0,100
default,get_customer/tampered_token: status is 401,1,0,100
default,get_customer/tampered_token: never a 5xx (server did not crash),1,0,100
default,get_customer/hardcoded: status is 200,1,0,100
default,get_customer/hardcoded: success=true,1,0,100
default,get_customer/hardcoded: never a 5xx (server did not crash),1,0,100
default,theme_settings/adminProfilePicture: has data.customer.themeSettings.adminProfilePicture,1,0,100
default,theme_settings/bgImage: has data.customer.themeSettings.bgImage,1,0,100
default,theme_settings/loginPageLogo: has data.customer.themeSettings.loginPageLogo,1,0,100
default,theme_settings/sidebarNavigationLogo: has data.customer.themeSettings.sidebarNavigationLogo,1,0,100
default,theme_settings/favIcon: has data.customer.themeSettings.favIcon,1,0,100
default,theme_settings/welcomeImage: has data.customer.themeSettings.welcomeImage,1,0,100
default,theme_settings/emailLogo: has data.customer.themeSettings.emailLogo,1,0,100
default,theme_settings: portal image values are not duplicated across fields,1,0,100
default,all_tenants/list: status is 200,1,0,100
default,all_tenants/list: never a 5xx (server did not crash),1,0,100
default,user_badges/list: status is 200,0,1,0
default,user_badges/list: success=true,0,1,0
default,user_badges/list: never a 5xx (server did not crash),1,0,100
default,theme_settings/own: status is 200,0,1,0
default,theme_settings/own: success=true,0,1,0
default,theme_settings/own: never a 5xx (server did not crash),1,0,100
default,theme_settings/update_hardcoded: status is 200,0,1,0
default,theme_settings/update_hardcoded: success=true,0,1,0
default,theme_settings/update_hardcoded: never a 5xx (server did not crash),1,0,100
default,get_customer/nonexistent_id: status is 404,1,0,100
default,get_customer/nonexistent_id: never a 5xx (server did not crash),1,0,100
default,get_customer/malformed_id: status is 400/404,1,0,100
default,get_customer/malformed_id: never a 5xx (server did not crash),1,0,100
default,theme_settings/invalid_color: status is 400/422,0,1,0
default,theme_settings/invalid_color: never a 5xx (server did not crash),1,0,100
default,theme_settings/nonexistent_id: status is 404,1,0,100
default,theme_settings/nonexistent_id: never a 5xx (server did not crash),1,0,100
default,change_status/nonexistent_id: status is 400/404,1,0,100
default,change_status/nonexistent_id: never a 5xx (server did not crash),1,0,100
default,verify_customer/nonexistent_id: status is 400/404,1,0,100
default,verify_customer/nonexistent_id: never a 5xx (server did not crash),1,0,100
